time	score	n_targets	task	groupings	test_targets	model	layers	layer_aggregation	subword_aggregation	dataset.name	dataset.version	preprocessing.method	cleaning.method	truncation.tokens_before	measure.method	measure.clustering.method	evaluation.task	evaluation.binary_threshold.method	evaluation.binary_threshold.params.t
2022-09-09 03:01:06	0.6370450825	44	lscd	[1, 2]		KB/bert-base-swedish-cased	[1, -1]	average	average	dwug_sv	2.0.0	toklem	all	0.5	apd_compare_all		change_graded	mean_std	0.1
2022-09-09 03:01:06	0.1078517878	31	lscd	[1, 2]		KB/bert-base-swedish-cased	[1, -1]	average	average	dwug_sv	1.0.0	toklem	all	0.5	cos		change_graded	mean_std	0.1
2022-09-09 03:01:06	0.4850295223	31	lscd	[1, 2]		KB/bert-base-swedish-cased	[-1, -2, -3, -4]	average	last	dwug_sv	1.0.0	toklem	all	0.5	apd_compare_all		change_graded	mean_std	0.1
2022-09-09 03:01:06	0.0675844224	31	lscd	[1, 2]		KB/bert-base-swedish-cased	[1, -1]	sum	average	dwug_sv	1.0.0	tokenize	all	0.5	cos		change_graded	mean_std	0.1
2022-09-09 03:01:06	0.1831254559	31	lscd	[1, 2]		KB/bert-base-swedish-cased	[-1, -2, -3, -4]	sum	sum	dwug_sv	1.0.0	tokenize	all	0.5	cos		change_graded	mean_std	0.1
2022-09-09 03:01:06	-0.0012140914	31	lscd	[1, 2]		KB/bert-base-swedish-cased	[1, -1]	average	average	dwug_sv	1.0.0	lemmatize	all	0.5	cos		change_graded	mean_std	0.1
2022-09-09 03:01:06	0.5086274764	44	lscd	[1, 2]		KB/bert-base-swedish-cased	[1, -1]	sum	first	dwug_sv	2.0.0	toklem	all	0.5	apd_compare_all		change_graded	mean_std	0.1
2022-09-09 03:01:06	0.5621243275	31	lscd	[1, 2]		KB/bert-base-swedish-cased	[-1]	average	average	dwug_sv	1.0.0		all	0.5	apd_compare_all		change_graded	mean_std	0.1
2022-09-09 03:01:06	-0.0388509254	31	lscd	[1, 2]		KB/bert-base-swedish-cased	[1, -1]	concat	last	dwug_sv	1.0.0	lemmatize	all	0.5	cos		change_graded	mean_std	0.1
2022-09-09 03:01:06	0.0980888905	44	lscd	[1, 2]		KB/bert-base-swedish-cased	[1, -1]	average	last	dwug_sv	2.0.0		all	0.5	apd_compare_all		change_graded	mean_std	0.1
